date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:08	67315/67315	---MCZ	200	added ('OK')	text/html	etag:W/%22591e1409-106f3%22	https://adminlte.io/themes/AdminLTE/index2.html	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/index2.html	(from )
20:10:09	24/24	---M--	200	added ('OK')	text/plain	etag:%225909dd5f-18%22	https://adminlte.io/robots.txt		(from )
20:10:10	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22591e0fc4-1d970%22	https://adminlte.io/themes/AdminLTE/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/bootstrap/css/bootstrap.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:10	27466/27466	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:03:45%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/dula/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:10	51284/51284	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:04:15%20GMT	https://cdnjs.cloudflare.com/ajax/libs/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/dula/cdnjs.cloudflare.com/ajax/libs/ionicons/2.0.1/css/ionicons.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:11	826/826	---MCZ	200	added ('OK')	text/css	etag:W/%22591e0fc4-33a%22	https://adminlte.io/themes/AdminLTE/plugins/jvectormap/jquery-jvectormap-1.2.2.css	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/plugins/jvectormap/jquery-jvectormap-1.2.2.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:11	90738/90738	---MCZ	200	added ('OK')	text/css	etag:W/%22591e1409-16272%22	https://adminlte.io/themes/AdminLTE/dist/css/AdminLTE.min.css	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/dist/css/AdminLTE.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:11	41583/41583	---MCZ	200	added ('OK')	text/css	etag:W/%22591e0fc4-a26f%22	https://adminlte.io/themes/AdminLTE/dist/css/skins/_all-skins.min.css	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/dist/css/skins/_all-skins.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:12	7070/7070	---M--	200	added ('OK')	image/jpeg	etag:%22591e0fc4-1b9e%22	https://adminlte.io/themes/AdminLTE/dist/img/user2-160x160.jpg	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/dist/img/user2-160x160.jpg	(from https://adminlte.io/themes/AdminLTE/index2.html)
20:10:12	3511/3511	---M--	200	added ('OK')	image/jpeg	etag:%22591e0fc4-db7%22	https://adminlte.io/themes/AdminLTE/dist/img/user3-128x128.jpg	C:/My%20Web%20Sites/dula/adminlte.io/themes/AdminLTE/dist/img/user3-128x128.jpg	(from https://adminlte.io/themes/AdminLTE/index2.html)
